alleen in mozaïek met zelfstandige vegetaties van H1320 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H2310 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige en mozaïekvegetaties van H2120 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H2130_A | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige en mozaïekvegetaties van H7110_B | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H1330_A | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H2190_A | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met goede zelfstandige vegetaties van H3160 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met of als rand langs zelfstandige vegetaties van H9160_B | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige en mozaïekvegetaties van H2310 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H6120 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige en mozaïekvegetaties van H3160 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige en mozaïekvegetaties van H2190_A | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H6410 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige en mozaïekvegetaties van H3130 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met of als rand langs zelfstandige vegetaties van H9190 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met of als rand langs zelfstandige vegetaties van H9120 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H7230 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H2140_A en niet dominant | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H9160_A | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H3140 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met goede zelfstandige vegetaties van H3130 | "{
    ""type"": ""PlaceholderMozaiek""
}"
alleen in mozaïek met zelfstandige vegetaties van H7110_B | "{
    ""type"": ""PlaceholderMozaiek""
}"
